
Миграционный прирост, человек, значение показателя за год, Всего, Всего
;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
Городские поселения;68;179;447;-220;-321;28;85;63;54;66;27;-31;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;67;175;444;-226;-321;24;81;59;53;63;25;-30;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;1;4;3;6;0;4;4;4;1;3;2;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;166;404;710;-48;-162;498;542;427;453;491;311;20;
Токсовское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;105;-11;146;240;164;242;134;332;99;100;100;116;
в пределах России;;;;;;;;;;;;;
Городские поселения;72;-36;87;212;144;215;113;270;63;90;94;131;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-63;-22;-28;14;2;61;-1;12;-30;-29;-18;-5;
межрегиональная;;;;;;;;;;;;;
Городские поселения;135;-14;115;198;142;154;114;258;93;119;112;136;
международная;;;;;;;;;;;;;
Городские поселения;33;25;59;28;20;27;21;62;36;10;6;-15;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;29;21;51;27;16;25;24;61;28;8;9;-19;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;4;4;8;1;4;2;-3;1;8;2;-3;4;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;168;11;174;226;162;181;135;320;129;129;118;121;
Бугровское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;339;395;936;718;632;627;961;3021;4229;;6196;2515;
в пределах России;;;;;;;;;;;;;
Сельские поселения;299;279;567;824;830;568;796;2865;3946;;5591;2162;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;19;19;15;99;53;47;89;231;433;;841;49;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;280;260;552;725;777;521;707;2634;3513;;4750;2113;
международная;;;;;;;;;;;;;
Сельские поселения;40;116;369;-106;-198;59;165;156;283;;605;353;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;32;108;362;-105;-206;55;152;143;259;;580;331;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;8;8;7;-1;8;4;13;13;24;;25;22;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;320;376;921;619;579;580;872;2790;3796;;5355;2466;
Агалатовское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;153;215;306;305;339;587;521;819;768;;1600;1413;
в пределах России;;;;;;;;;;;;;
Сельские поселения;132;183;271;314;321;524;446;757;744;;1478;1284;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;13;48;48;50;40;49;48;74;75;;187;76;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;119;135;223;264;281;475;398;683;669;;1291;1208;
международная;;;;;;;;;;;;;
Сельские поселения;21;32;35;-9;18;63;75;62;24;;122;129;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;21;29;31;-11;23;62;72;59;25;;117;130;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;3;4;2;-5;1;3;3;-1;;5;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;140;167;258;255;299;538;473;745;693;;1413;1337;
Заневское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;728;612;912;2439;3645;5304;;;;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;686;554;867;2345;3548;5052;;;;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;42;42;71;209;214;421;;;;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;644;512;796;2136;3334;4631;;;;;;;
международная;;;;;;;;;;;;;
Сельские поселения;42;58;45;94;97;252;;;;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;40;51;36;85;86;237;;;;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;2;7;9;9;11;15;;;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;686;570;841;2230;3431;4883;;;;;;;
Колтушское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;923;1426;1391;1428;636;992;1194;1188;676;418;194;953;
в пределах России;;;;;;;;;;;;;
Сельские поселения;855;1286;1079;1282;947;923;1047;1023;589;283;94;936;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;18;132;100;74;46;30;143;55;46;10;-47;103;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;837;1154;979;1208;901;893;904;968;543;273;141;833;
международная;;;;;;;;;;;;;
Сельские поселения;68;140;312;146;-311;69;147;165;87;135;100;17;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;61;131;300;141;-322;62;144;160;83;128;93;15;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;7;9;12;5;11;7;3;5;4;7;7;2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;905;1294;1291;1354;590;962;1051;1133;630;408;241;850;
Куйвозовское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;205;131;436;289;-62;89;-39;112;102;;235;224;
в пределах России;;;;;;;;;;;;;
Сельские поселения;181;97;259;265;22;56;-63;63;75;;177;206;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-60;-25;3;29;-20;-40;-72;-40;-31;;-34;-37;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;241;122;256;236;42;96;9;103;106;;211;243;
международная;;;;;;;;;;;;;
Сельские поселения;24;34;177;24;-84;33;24;49;27;;58;18;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;23;39;174;17;-88;31;23;44;26;;54;17;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;-5;3;7;4;2;1;5;1;;4;1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;265;156;433;260;-42;129;33;152;133;;269;261;
Лесколовское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;375;278;323;124;40;121;112;205;213;111;270;443;
в пределах России;;;;;;;;;;;;;
Сельские поселения;337;252;268;117;49;114;70;132;177;63;210;424;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;41;24;41;-13;45;2;-10;-24;26;-46;17;59;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;296;228;227;130;4;112;80;156;151;109;193;365;
международная;;;;;;;;;;;;;
Сельские поселения;38;26;55;7;-9;7;42;73;36;48;60;19;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;32;22;44;11;-12;10;42;73;31;46;52;15;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;6;4;11;-4;3;-3;0;0;5;2;8;4;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;334;254;282;137;-5;119;122;229;187;157;253;384;
Муринское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;385;730;874;1031;3162;6483;9964;18594;15907;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;343;693;714;922;3225;6197;9321;17334;14912;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;1;40;54;55;181;512;818;1403;1087;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;342;653;660;867;3044;5685;8503;15931;13825;;;;
международная;;;;;;;;;;;;;
Сельские поселения;42;37;160;109;-63;286;643;1260;995;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;32;35;151;106;-63;261;612;1206;932;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;10;2;9;3;0;25;31;54;63;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;384;690;820;976;2981;5971;9146;17191;14820;;;;
Разметелевское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;114;152;120;;;;;;;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;97;106;85;;;;;;;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-4;-6;-6;;;;;;;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;101;112;91;;;;;;;;;;
международная;;;;;;;;;;;;;
Сельские поселения;17;46;35;;;;;;;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;12;44;35;;;;;;;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;5;2;;;;;;;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;118;158;126;;;;;;;;;;
Романовское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;59;198;230;215;173;139;199;237;135;166;156;-7;
в пределах России;;;;;;;;;;;;;
Сельские поселения;47;172;199;193;174;117;154;164;132;120;116;11;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-12;12;10;55;44;27;19;8;17;-13;-13;-2;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;59;160;189;138;130;90;135;156;115;133;129;13;
международная;;;;;;;;;;;;;
Сельские поселения;12;26;31;22;-1;22;45;73;3;46;40;-18;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;11;23;29;19;-2;20;44;70;0;46;36;-16;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;3;2;3;1;2;1;3;3;0;4;-2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;71;186;220;160;129;112;180;229;118;179;169;-5;
Щегловское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;29;39;54;58;-29;20;120;384;572;457;473;201;
в пределах России;;;;;;;;;;;;;
Сельские поселения;15;23;4;70;4;10;101;361;546;407;439;194;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-3;-2;-9;6;-9;-2;42;85;118;113;91;31;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;18;25;13;64;13;12;59;276;428;294;348;163;
международная;;;;;;;;;;;;;
Сельские поселения;14;16;50;-12;-33;10;19;23;26;50;34;7;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;12;16;47;-13;-31;9;20;21;25;49;32;7;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;2;;3;1;-2;1;-1;2;1;1;2;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;32;41;63;52;-20;22;78;299;454;344;382;170;
Юкковское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;136;97;153;93;132;172;264;333;399;308;497;344;
в пределах России;;;;;;;;;;;;;
Сельские поселения;127;88;135;71;140;147;230;287;373;275;414;294;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;11;16;28;2;10;19;1;20;27;23;27;35;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;116;72;107;69;130;128;229;267;346;252;387;259;
международная;;;;;;;;;;;;;
Сельские поселения;9;9;18;22;-8;25;34;46;26;33;83;50;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;7;9;17;17;-10;25;30;44;25;32;75;25;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;2;0;1;5;2;0;4;2;1;1;8;25;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;125;81;125;91;122;153;263;313;372;285;470;309;
Новодевяткинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;445;673;1026;1994;1150;1225;902;1158;1021;1182;992;689;
в пределах России;;;;;;;;;;;;;
Сельские поселения;420;624;900;1941;1192;1161;805;1045;918;1002;823;593;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;23;57;76;177;79;20;43;-6;7;54;26;1;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;397;567;824;1764;1113;1141;762;1051;911;948;797;592;
международная;;;;;;;;;;;;;
Сельские поселения;25;49;126;53;-42;64;97;113;103;180;169;96;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;18;41;117;46;-44;57;90;104;99;174;157;97;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;7;8;9;7;2;7;7;9;4;6;12;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;422;616;950;1817;1071;1205;859;1164;1014;1128;966;688;
Выборгский муниципальный район;;;;;;;;;;;;;
Выборгский муниципальный район;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Муниципальный район;1474;1209;227;387;-185;-496;-550;-440;-210;-907;51;223;
в пределах России;;;;;;;;;;;;;
Муниципальный район;1288;246;79;158;-350;-659;-653;-428;-252;-829;-159;22;
внутрирегиональная;;;;;;;;;;;;;
Муниципальный район;-40;-122;-57;-169;-185;-191;-259;-335;-359;-342;-259;-247;
межрегиональная;;;;;;;;;;;;;
Муниципальный район;1328;368;136;327;-165;-468;-394;-93;107;-487;100;269;
международная;;;;;;;;;;;;;
Муниципальный район;186;963;148;229;165;163;103;-12;42;-78;210;201;
со странами СНГ;;;;;;;;;;;;;
Муниципальный район;214;980;143;232;154;164;132;9;79;-43;228;238;
с другими зарубежными странами;;;;;;;;;;;;;
Муниципальный район;-28;-17;5;-3;11;-1;-29;-21;-37;-35;-18;-37;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Муниципальный район;1514;1331;284;556;0;-305;-291;-105;149;-565;310;470;
Выборгское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;994;576;-188;-57;-351;-637;-679;-418;-482;;-212;-20;
в пределах России;;;;;;;;;;;;;
Городские поселения;933;297;-149;-138;-456;-707;-686;-375;-460;;-240;-58;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;274;8;-50;-131;-152;-191;-136;-93;-131;;-29;-91;
межрегиональная;;;;;;;;;;;;;
Городские поселения;659;289;-99;-7;-304;-516;-550;-282;-329;;-211;33;
международная;;;;;;;;;;;;;
Городские поселения;61;279;-39;81;105;70;7;-43;-22;;28;38;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;78;283;-38;79;111;69;25;-32;-4;;39;53;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;-17;-4;-1;2;-6;1;-18;-11;-18;;-11;-15;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;720;568;-138;74;-199;-446;-543;-325;-351;;-183;71;
Высоцкое;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;-24;-32;-34;-1;-20;-10;-4;-21;2;;0;-12;
в пределах России;;;;;;;;;;;;;
Городские поселения;-25;-31;-36;-5;-20;-11;-4;-20;0;;-3;-11;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-13;-1;-20;-3;-3;4;-1;-3;2;;0;3;
межрегиональная;;;;;;;;;;;;;
Городские поселения;-12;-30;-16;-2;-17;-15;-3;-17;-2;;-3;-14;
международная;;;;;;;;;;;;;
Городские поселения;1;-1;2;4;0;1;;-1;2;;3;-1;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;1;1;2;4;0;1;;-1;2;;2;0;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;;-2;;;;;;;;;1;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;-11;-31;-14;2;-17;-14;-3;-18;0;;0;-15;
Каменногорское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;67;30;73;61;8;-35;-136;-148;-128;;-113;1;
в пределах России;;;;;;;;;;;;;
Городские поселения;62;-30;36;87;-9;-45;-132;-147;-134;;-110;-4;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-14;-36;11;34;-6;-3;-38;-41;-48;;-55;-1;
межрегиональная;;;;;;;;;;;;;
Городские поселения;76;6;25;53;-3;-42;-94;-106;-86;;-55;-3;
международная;;;;;;;;;;;;;
Городские поселения;5;60;37;-26;17;10;-4;-1;6;;-3;5;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;6;62;38;-29;16;10;-1;1;6;;-1;8;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;-1;-2;-1;3;1;0;-3;-2;;;-2;-3;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;81;66;62;27;14;-32;-98;-107;-80;;-58;2;
Приморское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;15;-30;-57;81;119;-24;31;-31;28;;-113;18;
в пределах России;;;;;;;;;;;;;
Городские поселения;3;-56;-77;64;85;-40;9;-32;26;;-117;17;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-32;-28;-4;-34;-18;-41;-25;-29;-25;;-54;-28;
межрегиональная;;;;;;;;;;;;;
Городские поселения;35;-28;-73;98;103;1;34;-3;51;;-63;45;
международная;;;;;;;;;;;;;
Городские поселения;12;26;20;17;34;16;22;1;2;;4;1;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;12;27;18;14;27;17;21;-2;2;;5;4;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;;-1;2;3;7;-1;1;3;0;;-1;-3;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;47;-2;-53;115;137;17;56;-2;53;;-59;46;
Светогорское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;17;152;51;68;-11;-35;-75;-92;-116;-157;-83;-29;
в пределах России;;;;;;;;;;;;;
Городские поселения;21;90;6;-12;-32;-44;-85;-82;-104;-144;-86;-33;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-47;-20;-23;8;-8;9;-26;-32;-13;-64;-49;-4;
межрегиональная;;;;;;;;;;;;;
Городские поселения;68;110;29;-20;-24;-53;-59;-50;-91;-80;-37;-29;
международная;;;;;;;;;;;;;
Городские поселения;-4;62;45;80;21;9;10;-10;-12;-13;3;4;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;3;62;47;88;26;7;9;-7;-3;-10;4;6;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;-7;0;-2;-8;-5;2;1;-3;-9;-3;-1;-2;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;64;172;74;60;-3;-44;-49;-60;-103;-93;-34;-25;
Рощинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;331;302;231;138;120;77;87;188;245;-51;264;174;
в пределах России;;;;;;;;;;;;;
Городские поселения;308;226;223;118;69;45;47;164;209;-57;198;128;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;2;-40;29;-28;-13;-6;-25;-11;12;-39;-8;-10;
межрегиональная;;;;;;;;;;;;;
Городские поселения;306;266;194;146;82;51;72;175;197;-18;206;138;
международная;;;;;;;;;;;;;
Городские поселения;23;76;8;20;51;32;40;24;36;6;66;46;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;19;79;6;18;48;27;44;29;31;9;68;50;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;4;-3;2;2;3;5;-4;-5;5;-3;-2;-4;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;329;342;202;166;133;83;112;199;233;-12;272;184;
Советское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;-114;1;8;60;23;16;-7;-58;-24;-110;-53;-41;
в пределах России;;;;;;;;;;;;;
Городские поселения;-112;-24;16;44;21;5;-7;-52;-22;-100;-49;-36;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;-66;-12;-15;3;23;35;7;-21;-27;-24;-2;-13;
межрегиональная;;;;;;;;;;;;;
Городские поселения;-46;-12;31;41;-2;-30;-14;-31;5;-76;-47;-23;
международная;;;;;;;;;;;;;
Городские поселения;-2;25;-8;16;2;11;0;-6;-2;-10;-4;-5;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;3;28;-10;14;0;9;-1;-3;3;-3;0;-2;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;-5;-3;2;2;2;2;1;-3;-5;-7;-4;-3;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;-48;13;23;57;0;-19;-14;-37;3;-86;-51;-28;
Глебычевское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;;-155;-56;-17;;;;;;;;;
в пределах России;;;;;;;;;;;;;
Сельские поселения;;-158;-60;-18;;;;;;;;;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;;-25;-28;-6;;;;;;;;;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;;-133;-32;-12;;;;;;;;;
международная;;;;;;;;;;;;;
Сельские поселения;;3;4;1;;;;;;;;;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;;4;;1;;;;;;;;;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;-1;4;;;;;;;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;;-130;-28;-11;;;;;;;;;
Красносельское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;-13;64;-5;-70;-15;-33;22;-62;-5;-15;32;25;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-20;-1;8;-69;-20;-32;21;-74;-10;-17;20;7;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-42;4;4;-5;11;-14;-1;-32;5;-18;-15;-10;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;22;-5;4;-64;-31;-18;22;-42;-15;1;35;17;
международная;;;;;;;;;;;;;
Сельские поселения;7;65;-13;-1;5;-1;1;12;5;2;12;18;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;7;64;-13;-1;-1;3;2;9;5;2;12;19;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;;1;;;6;-4;-1;3;0;;;-1;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;29;60;-9;-65;-26;-19;23;-30;-10;3;47;35;
Первомайское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;147;227;219;199;115;118;69;148;299;;272;174;
в пределах России;;;;;;;;;;;;;
Сельские поселения;112;13;183;222;255;140;60;143;270;;233;159;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-2;0;6;16;18;0;8;-19;-7;;-1;29;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;114;13;177;206;237;140;52;162;277;;234;130;
международная;;;;;;;;;;;;;
Сельские поселения;35;214;36;-23;-140;-22;9;5;29;;39;15;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;31;218;41;-24;-139;-17;11;7;30;;39;20;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;4;-4;-5;1;-1;-5;-2;-2;-1;;0;-5;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;149;227;213;183;97;118;61;167;306;;273;145;
Полянское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;11;-121;-187;-100;-180;122;151;167;106;206;164;-81;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-18;-188;-184;-156;-210;100;146;153;101;166;113;-123;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-48;-27;-32;-63;-68;-9;-7;-12;-72;31;9;-69;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;30;-161;-152;-93;-142;109;153;165;173;135;104;-54;
международная;;;;;;;;;;;;;
Сельские поселения;29;67;-3;56;30;22;5;14;5;40;51;42;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;28;68;-3;60;30;23;10;15;10;40;51;42;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;1;-1;;-4;0;-1;-5;-1;-5;;0;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;59;-94;-155;-37;-112;131;158;179;178;175;155;-12;
Селезневское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;-24;95;-16;-1;-37;-25;-15;-16;-58;-75;-62;-3;
в пределах России;;;;;;;;;;;;;
Сельские поселения;-29;40;11;-5;-46;-27;-22;-17;-59;-67;-64;-6;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-20;25;22;8;11;16;-5;-13;-31;-25;-29;-28;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;-9;15;-11;-13;-57;-43;-17;-4;-28;-42;-35;22;
международная;;;;;;;;;;;;;
Сельские поселения;5;55;-27;4;9;2;7;1;1;-8;2;3;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;10;54;-28;5;9;2;4;2;2;-8;2;3;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;-5;1;1;-1;;;3;-1;-1;;;;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;-4;70;-38;-9;-48;-41;-10;-3;-27;-50;-33;25;
Гончаровское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Сельские поселения;67;100;188;26;44;-30;6;-97;-77;-47;-45;17;
в пределах России;;;;;;;;;;;;;
Сельские поселения;53;68;102;26;13;-43;0;-89;-69;-36;-54;-18;
внутрирегиональная;;;;;;;;;;;;;
Сельские поселения;-32;30;43;32;20;9;-10;-29;-24;-6;-26;-25;
межрегиональная;;;;;;;;;;;;;
Сельские поселения;85;38;59;-6;-7;-52;10;-60;-45;-30;-28;7;
международная;;;;;;;;;;;;;
Сельские поселения;14;32;86;0;31;13;6;-8;-8;-11;9;35;
со странами СНГ;;;;;;;;;;;;;
Сельские поселения;16;30;83;3;27;13;8;-9;-5;-7;7;35;
с другими зарубежными странами;;;;;;;;;;;;;
Сельские поселения;-2;2;3;-3;4;;-2;1;-3;-4;2;0;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Сельские поселения;99;70;145;-6;24;-39;16;-68;-53;-41;-19;42;
Гатчинский муниципальный район;;;;;;;;;;;;;
Гатчинский муниципальный район;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Муниципальный район;5309;5110;4144;3215;942;767;-63;339;-3760;-3039;304;122;
в пределах России;;;;;;;;;;;;;
Муниципальный район;4328;2909;2915;2139;1828;530;-727;-310;-3299;-2912;-131;1009;
внутрирегиональная;;;;;;;;;;;;;
Муниципальный район;150;352;204;-8;118;-98;-230;-265;-586;-642;-254;-126;
межрегиональная;;;;;;;;;;;;;
Муниципальный район;4178;2557;2711;2147;1710;628;-497;-45;-2713;-2270;123;1135;
международная;;;;;;;;;;;;;
Муниципальный район;981;2201;1229;1076;-886;237;664;649;-461;-127;435;-887;
со странами СНГ;;;;;;;;;;;;;
Муниципальный район;924;2110;1178;1065;-909;232;657;623;-452;-115;433;-849;
с другими зарубежными странами;;;;;;;;;;;;;
Муниципальный район;57;91;51;11;23;5;7;26;-9;-12;2;-38;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Муниципальный район;5159;4758;3940;3223;824;865;167;604;-3174;-2397;558;248;
Гатчинское;;;;;;;;;;;;;
Миграция-всего;;;;;;;;;;;;;
Городские поселения;1518;1875;1160;1268;-218;3;-114;-28;-1288;;-286;-320;
в пределах России;;;;;;;;;;;;;
Городские поселения;1259;1214;835;840;275;-27;-309;-170;-1113;;-459;-63;
внутрирегиональная;;;;;;;;;;;;;
Городские поселения;232;428;264;142;-27;-74;-76;-55;-92;;-173;11;
межрегиональная;;;;;;;;;;;;;
Городские поселения;1027;786;571;698;302;47;-233;-115;-1021;;-286;-74;
международная;;;;;;;;;;;;;
Городские поселения;259;661;325;428;-493;30;195;142;-175;;173;-257;
со странами СНГ;;;;;;;;;;;;;
Городские поселения;234;623;318;437;-507;31;193;136;-171;;165;-235;
с другими зарубежными странами;;;;;;;;;;;;;
Городские поселения;25;38;7;-9;14;-1;2;6;-4;;8;-22;
Внешняя (для региона) миграция;;;;;;;;;;;;;
Городские поселения;1286;1447;896;1126;-191;77;-38;27;-1196;;-113;-331;
